2016-9-1 9:22:55 [INFO] The application for jwpaisley.com has restarted.
2016-9-1 9:23:03 [INFO] A user has connected to the site.
2016-9-1 9:23:22 [INFO] A user has disconnected from the site.
2016-9-1 9:23:22 [INFO] A user has connected to the site.
2016-9-1 9:23:26 [INFO] A user has disconnected from the site.
2016-9-1 9:23:26 [INFO] A user has connected to the site.
2016-9-1 9:23:28 [INFO] A user has disconnected from the site.
2016-9-1 9:23:28 [INFO] A user has connected to the site.
2016-9-1 9:23:37 [INFO] A user has disconnected from the site.
2016-9-1 9:23:37 [INFO] A user has connected to the site.
2016-9-1 9:23:39 [INFO] A user has disconnected from the site.
2016-9-1 9:23:39 [INFO] A user has connected to the site.
2016-9-1 9:23:43 [INFO] A user has disconnected from the site.
2016-9-1 9:23:43 [INFO] A user has connected to the site.
2016-9-1 9:23:44 [INFO] A user has disconnected from the site.
2016-9-1 9:23:44 [INFO] A user has connected to the site.
