2016-8-9 8:11:42 [INFO] The application for jwpaisley.com has restarted.
2016-8-9 8:11:52 [INFO] A user has connected to the site.
2016-8-9 8:12:21 [INFO] A user has disconnected from the site.
2016-8-9 8:12:21 [INFO] A user has connected to the site.
2016-8-9 8:17:54 [INFO] A user has disconnected from the site.
2016-8-9 8:17:54 [INFO] A user has connected to the site.
2016-8-9 8:17:55 [INFO] A user has disconnected from the site.
2016-8-9 8:17:55 [INFO] A user has connected to the site.
2016-8-9 8:19:01 [INFO] A user has disconnected from the site.
2016-8-9 8:19:01 [INFO] A user has connected to the site.
2016-8-9 8:19:02 [INFO] A user has disconnected from the site.
2016-8-9 8:19:02 [INFO] A user has connected to the site.
2016-8-9 8:19:02 [INFO] A user has disconnected from the site.
2016-8-9 8:19:02 [INFO] A user has connected to the site.
2016-8-9 8:19:02 [INFO] A user has disconnected from the site.
2016-8-9 8:19:02 [INFO] A user has connected to the site.
2016-8-9 8:19:02 [INFO] A user has disconnected from the site.
2016-8-9 8:19:02 [INFO] A user has connected to the site.
2016-8-9 8:24:44 [INFO] A user has disconnected from the site.
2016-8-9 8:24:45 [INFO] A user has connected to the site.
2016-8-9 8:24:46 [INFO] A user has disconnected from the site.
2016-8-9 8:24:46 [INFO] A user has connected to the site.
2016-8-9 8:24:55 [INFO] A user has disconnected from the site.
2016-8-9 8:24:55 [INFO] A user has connected to the site.
2016-8-9 8:25:09 [INFO] A user has disconnected from the site.
2016-8-9 8:25:09 [INFO] A user has connected to the site.
2016-8-9 8:25:17 [INFO] A user has disconnected from the site.
2016-8-9 8:25:17 [INFO] A user has connected to the site.
2016-8-9 8:25:21 [INFO] A user has disconnected from the site.
2016-8-9 8:25:21 [INFO] A user has connected to the site.
2016-8-9 8:25:22 [INFO] A user has disconnected from the site.
2016-8-9 8:25:22 [INFO] A user has connected to the site.
2016-8-9 8:25:23 [INFO] A user has disconnected from the site.
2016-8-9 8:25:23 [INFO] A user has connected to the site.
2016-8-9 8:25:24 [INFO] A user has disconnected from the site.
2016-8-9 8:25:24 [INFO] A user has connected to the site.
2016-8-9 8:26:16 [INFO] A user has disconnected from the site.
2016-8-9 8:26:16 [INFO] A user has connected to the site.
2016-8-9 8:26:27 [INFO] A user has disconnected from the site.
2016-8-9 8:26:28 [INFO] A user has connected to the site.
2016-8-9 8:26:30 [INFO] A user has disconnected from the site.
2016-8-9 8:26:30 [INFO] A user has connected to the site.
2016-8-9 8:26:31 [INFO] A user has disconnected from the site.
2016-8-9 8:26:31 [INFO] A user has connected to the site.
2016-8-9 8:26:32 [INFO] A user has disconnected from the site.
2016-8-9 8:26:32 [INFO] A user has connected to the site.
2016-8-9 8:34:52 [INFO] A user has disconnected from the site.
2016-8-9 8:34:52 [INFO] A user has connected to the site.
2016-8-9 8:34:54 [INFO] A user has disconnected from the site.
2016-8-9 8:34:54 [INFO] A user has connected to the site.
2016-8-9 8:34:57 [INFO] A user has disconnected from the site.
2016-8-9 8:34:57 [INFO] A user has connected to the site.
2016-8-9 8:34:57 [INFO] A user has disconnected from the site.
2016-8-9 8:34:57 [INFO] A user has connected to the site.
2016-8-9 8:34:58 [INFO] A user has disconnected from the site.
2016-8-9 8:34:58 [INFO] A user has connected to the site.
2016-8-9 8:37:07 [INFO] A user has disconnected from the site.
2016-8-9 10:37:35 [INFO] The application for jwpaisley.com has restarted.
2016-8-9 10:37:37 [INFO] A user has connected to the site.
2016-8-9 10:37:38 [INFO] A user has disconnected from the site.
2016-8-9 10:37:38 [INFO] A user has connected to the site.
2016-8-9 10:37:40 [INFO] A user has disconnected from the site.
2016-8-9 10:37:40 [INFO] A user has connected to the site.
2016-8-9 10:37:41 [INFO] A user has disconnected from the site.
2016-8-9 10:37:41 [INFO] A user has connected to the site.
2016-8-9 10:37:41 [INFO] A user has disconnected from the site.
2016-8-9 10:37:41 [INFO] A user has connected to the site.
2016-8-9 10:37:42 [INFO] A user has disconnected from the site.
2016-8-9 10:37:42 [INFO] A user has connected to the site.
2016-8-9 10:38:21 [INFO] A user has disconnected from the site.
2016-8-9 10:38:21 [INFO] A user has connected to the site.
2016-8-9 10:38:23 [INFO] A user has disconnected from the site.
2016-8-9 10:38:23 [INFO] A user has connected to the site.
2016-8-9 10:38:24 [INFO] A user has disconnected from the site.
2016-8-9 10:38:24 [INFO] A user has connected to the site.
2016-8-9 10:38:56 [INFO] A user has disconnected from the site.
2016-8-9 10:38:56 [INFO] A user has connected to the site.
2016-8-9 10:38:58 [INFO] A user has disconnected from the site.
2016-8-9 10:38:58 [INFO] A user has connected to the site.
2016-8-9 10:39:00 [INFO] A user has disconnected from the site.
2016-8-9 10:39:00 [INFO] A user has connected to the site.
2016-8-9 10:40:10 [INFO] A user has disconnected from the site.
2016-8-9 10:40:10 [INFO] A user has connected to the site.
2016-8-9 10:40:12 [INFO] A user has disconnected from the site.
2016-8-9 10:40:12 [INFO] A user has connected to the site.
2016-8-9 10:40:13 [INFO] A user has disconnected from the site.
2016-8-9 10:40:13 [INFO] A user has connected to the site.
2016-8-9 10:40:14 [INFO] A user has disconnected from the site.
2016-8-9 10:40:14 [INFO] A user has connected to the site.
2016-8-9 10:40:16 [INFO] A user has disconnected from the site.
2016-8-9 10:40:16 [INFO] A user has connected to the site.
2016-8-9 10:42:20 [INFO] A user has disconnected from the site.
2016-8-9 10:42:20 [INFO] A user has connected to the site.
2016-8-9 10:42:47 [INFO] A user has disconnected from the site.
2016-8-9 10:42:48 [INFO] A user has connected to the site.
2016-8-9 10:43:13 [INFO] A user has disconnected from the site.
