2016-8-11 17:44:49 [INFO] The application for jwpaisley.com has restarted.
2016-8-11 17:44:49 [INFO] A user has connected to the site.
2016-8-11 17:44:52 [INFO] A user has disconnected from the site.
2016-8-11 17:44:53 [INFO] A user has connected to the site.
2016-8-11 17:45:02 [INFO] A user has disconnected from the site.
2016-8-11 17:45:02 [INFO] A user has connected to the site.
2016-8-11 17:45:04 [INFO] A user has disconnected from the site.
2016-8-11 17:45:04 [INFO] A user has connected to the site.
2016-8-11 17:45:06 [INFO] A user has disconnected from the site.
2016-8-11 17:45:06 [INFO] A user has connected to the site.
2016-8-11 17:45:14 [INFO] A user has disconnected from the site.
2016-8-11 17:45:14 [INFO] A user has connected to the site.
2016-8-11 17:45:15 [INFO] A user has disconnected from the site.
2016-8-11 17:45:15 [INFO] A user has connected to the site.
2016-8-11 17:45:16 [INFO] A user has disconnected from the site.
2016-8-11 17:45:16 [INFO] A user has connected to the site.
2016-8-11 17:45:17 [INFO] A user has disconnected from the site.
2016-8-11 17:45:17 [INFO] A user has connected to the site.
2016-8-11 17:45:18 [INFO] A user has disconnected from the site.
2016-8-11 17:45:18 [INFO] A user has connected to the site.
2016-8-11 17:45:19 [INFO] A user has disconnected from the site.
2016-8-11 17:45:19 [INFO] A user has connected to the site.
2016-8-11 17:45:20 [INFO] A user has disconnected from the site.
2016-8-11 17:45:20 [INFO] A user has connected to the site.
