2016-7-22 17:04:03 [INFO] A user has disconnected from the site.
2016-7-22 17:04:04 [INFO] A user has connected to the site.
2016-7-22 17:04:24 [INFO] A user has disconnected from the site.
2016-7-22 17:04:25 [INFO] A user has connected to the site.
2016-7-22 17:13:22 [INFO] A user has disconnected from the site.
2016-7-22 17:13:23 [INFO] A user has connected to the site.
2016-7-22 17:25:07 [INFO] A user has disconnected from the site.
2016-7-22 17:25:07 [INFO] A user has connected to the site.
2016-7-22 17:49:42 [INFO] A user has disconnected from the site.
2016-7-22 17:49:42 [INFO] A user has connected to the site.
2016-7-22 17:49:43 [INFO] A user has disconnected from the site.
2016-7-22 17:49:43 [INFO] A user has connected to the site.
2016-7-22 17:49:46 [INFO] A user has disconnected from the site.
2016-7-22 17:49:46 [INFO] A user has connected to the site.
2016-7-22 17:49:50 [INFO] A user has disconnected from the site.
2016-7-22 17:49:50 [INFO] A user has connected to the site.
2016-7-22 17:49:52 [INFO] A user has disconnected from the site.
2016-7-22 17:49:52 [INFO] A user has connected to the site.
2016-7-22 17:49:53 [INFO] A user has disconnected from the site.
2016-7-22 17:49:53 [INFO] A user has connected to the site.
2016-7-22 17:49:53 [INFO] A user has disconnected from the site.
2016-7-22 17:49:53 [INFO] A user has connected to the site.
2016-7-22 17:50:26 [INFO] A user has disconnected from the site.
2016-7-22 17:50:27 [INFO] A user has connected to the site.
2016-7-22 17:51:28 [INFO] A user has disconnected from the site.
2016-7-22 17:51:29 [INFO] A user has connected to the site.
2016-7-22 18:00:31 [INFO] A user has disconnected from the site.
2016-7-22 18:00:31 [INFO] A user has connected to the site.
2016-7-22 18:03:00 [INFO] A user has disconnected from the site.
2016-7-22 18:03:01 [INFO] A user has connected to the site.
2016-7-22 18:07:47 [INFO] A user has disconnected from the site.
2016-7-22 18:07:47 [INFO] A user has connected to the site.
2016-7-22 18:07:52 [INFO] A user has disconnected from the site.
2016-7-22 18:07:52 [INFO] A user has connected to the site.
2016-7-22 18:08:31 [INFO] A user has disconnected from the site.
2016-7-22 18:08:32 [INFO] A user has connected to the site.
2016-7-22 18:10:25 [INFO] A user has disconnected from the site.
2016-7-22 18:10:26 [INFO] A user has connected to the site.
2016-7-22 18:17:37 [INFO] A user has disconnected from the site.
2016-7-22 18:17:37 [INFO] A user has connected to the site.
2016-7-22 18:21:20 [INFO] A user has disconnected from the site.
2016-7-22 19:04:35 [INFO] A user has connected to the site.
2016-7-22 19:08:54 [INFO] A user has disconnected from the site.
2016-7-22 19:08:55 [INFO] A user has connected to the site.
2016-7-22 19:08:58 [INFO] A user has disconnected from the site.
2016-7-22 19:08:58 [INFO] A user has connected to the site.
2016-7-22 19:08:59 [INFO] A user has disconnected from the site.
2016-7-22 19:08:59 [INFO] A user has connected to the site.
2016-7-22 19:12:26 [INFO] A user has disconnected from the site.
2016-7-22 19:12:27 [INFO] A user has connected to the site.
2016-7-22 19:13:22 [INFO] A user has disconnected from the site.
2016-7-22 19:13:22 [INFO] A user has connected to the site.
2016-7-22 19:13:24 [INFO] A user has disconnected from the site.
2016-7-22 19:13:24 [INFO] A user has connected to the site.
2016-7-22 21:43:09 [INFO] A user has disconnected from the site.
